uniprot,cluster,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
E1K248,146,0.138,4.0,29.0,0.911,41.0,45.0,10.409,20.443,0.102,Incorrect
E1K248,156,0.273,3.0,11.0,0.933,42.0,45.0,11.13,19.541,0.15,Incorrect
P23687,145,0.589,116.0,197.0,0.608,180.0,296.0,4.639,5.03,0.475,Acceptable
P04807,199,0.56,28.0,50.0,0.125,4.0,32.0,5.384,7.43,0.4,Acceptable
H6SG27,302,0.0,0.0,0.0,1.0,17.0,17.0,7.88,23.019,0.052,Incorrect
P14677,017,0.943,33.0,35.0,0.057,2.0,35.0,0.374,1.362,0.953,High
P23687,330,0.255,12.0,47.0,0.959,284.0,296.0,10.908,16.527,0.161,Incorrect
P0AG30,034,0.889,32.0,36.0,0.111,4.0,36.0,1.103,0.449,0.845,High
P0AG30,057,0.947,18.0,19.0,0.5,18.0,36.0,1.807,2.232,0.764,Medium
P0AG30,278,0.679,19.0,28.0,0.472,17.0,36.0,2.409,3.213,0.611,Medium
H6SG27,049,0.143,1.0,7.0,0.941,16.0,17.0,6.851,11.188,0.185,Incorrect
P0AG30,221,0.892,33.0,37.0,0.083,3.0,36.0,1.002,0.646,0.859,High
P23687,083,0.507,141.0,278.0,0.524,155.0,296.0,4.364,4.829,0.456,Acceptable
P04807,189,0.56,28.0,50.0,0.125,4.0,32.0,3.605,7.181,0.43,Acceptable
P04807,186,0.549,28.0,51.0,0.125,4.0,32.0,2.279,4.693,0.539,Medium
P0AG30,155,0.914,32.0,35.0,0.111,4.0,36.0,0.397,0.836,0.946,High
,,,,,,,,,,,Incorrect
P14677,084,0.971,33.0,34.0,0.057,2.0,35.0,0.485,1.111,0.953,High
P0AG30,005,0.8,20.0,25.0,0.444,16.0,36.0,2.147,4.039,0.648,Medium
Q72AS4,105,0.143,1.0,7.0,0.977,42.0,43.0,11.416,22.521,0.095,Incorrect
H6SG27,151,0.0,0.0,0.0,1.0,17.0,17.0,15.389,25.74,0.036,Incorrect
H6SG27,107,0.5,1.0,2.0,0.941,16.0,17.0,4.327,11.554,0.319,Acceptable
Q7KLV9,027,0.035,3.0,85.0,0.933,42.0,45.0,14.346,16.233,0.087,Incorrect
E1K248,230,0.0,0.0,26.0,1.0,45.0,45.0,11.885,24.464,0.041,Incorrect
Q941M3,U100-007,0.0,0.0,1.0,1.0,14.0,14.0,2.218,5.119,0.349,Acceptable
P0AG30,073,0.886,31.0,35.0,0.139,5.0,36.0,0.591,1.048,0.912,High
A0A0A0V031,011,0.0,0.0,3.0,1.0,27.0,27.0,16.156,21.613,0.047,Incorrect
P14677,101,0.943,33.0,35.0,0.057,2.0,35.0,0.374,0.677,0.959,High
P04807,065,0.549,28.0,51.0,0.125,4.0,32.0,5.243,5.725,0.438,Acceptable
A0A0A0V031,012,0.0,0.0,11.0,1.0,27.0,27.0,7.123,10.692,0.143,Incorrect
E1K248,052,0.0,0.0,36.0,1.0,45.0,45.0,15.068,27.053,0.033,Incorrect
G0WVH3,031,0.0,0.0,0.0,1.0,30.0,30.0,8.405,40.521,0.024,Incorrect
Q941M3,002,0.0,0.0,0.0,1.0,14.0,14.0,6.888,37.607,0.031,Incorrect
F2Z6J5,093,0.103,3.0,29.0,0.94,47.0,50.0,12.775,21.898,0.083,Incorrect
P0AG30,194,0.886,31.0,35.0,0.139,5.0,36.0,0.456,0.985,0.929,High
H6SG27,063,0.923,12.0,13.0,0.294,5.0,17.0,0.667,0.821,0.916,High
P23687,125,0.345,60.0,174.0,0.797,236.0,296.0,7.767,9.913,0.268,Acceptable
O68880,065,0.74,54.0,73.0,0.4,36.0,90.0,1.677,4.969,0.643,Medium
A0A3B6UEQ0,060,0.0,0.0,23.0,1.0,33.0,33.0,18.415,48.779,0.012,Incorrect
E1K248,245,0.08,2.0,25.0,0.956,43.0,45.0,9.962,21.626,0.079,Incorrect
G0WVH3,026,0.0,0.0,3.0,1.0,30.0,30.0,14.039,27.024,0.034,Incorrect
Q7KLV9,022,0.87,40.0,46.0,0.111,5.0,45.0,1.065,4.317,0.777,Medium
E1K248,238,0.079,3.0,38.0,0.933,42.0,45.0,15.251,28.144,0.057,Incorrect
P0AG30,U10-004,0.853,29.0,34.0,0.194,7.0,36.0,0.45,1.017,0.919,High
Q72AS4,180,0.118,2.0,17.0,0.953,41.0,43.0,14.627,26.769,0.073,Incorrect
Q72AS4,130,0.077,2.0,26.0,0.953,41.0,43.0,11.243,19.808,0.083,Incorrect
G0WVH3,U10-004,0.286,4.0,14.0,0.867,26.0,30.0,4.129,9.949,0.275,Acceptable
O68880,073,0.851,74.0,87.0,0.178,16.0,90.0,1.194,4.265,0.754,Medium
H6SG27,065,0.0,0.0,16.0,1.0,17.0,17.0,4.843,21.332,0.075,Incorrect
,,,,,,,,,,,Incorrect
G0WVH3,084,0.0,0.0,0.0,1.0,30.0,30.0,5.683,42.078,0.035,Incorrect
P04807,175,0.684,26.0,38.0,0.188,6.0,32.0,6.716,9.334,0.395,Acceptable
P14677,U100-001,0.971,33.0,34.0,0.057,2.0,35.0,0.275,0.333,0.979,High
Q72AS4,109,0.206,7.0,34.0,0.837,36.0,43.0,7.324,11.906,0.195,Incorrect
P04807,224,0.711,27.0,38.0,0.156,5.0,32.0,3.592,5.218,0.528,Medium
H6SG27,068,0.0,0.0,1.0,1.0,17.0,17.0,14.901,22.385,0.045,Incorrect
P0AG30,097,1.0,3.0,3.0,0.917,33.0,36.0,3.122,24.61,0.431,Acceptable
P04807,134,0.444,16.0,36.0,0.5,16.0,32.0,5.98,13.504,0.262,Acceptable
P0AG30,060,0.744,32.0,43.0,0.111,4.0,36.0,1.37,2.8,0.731,Medium
E1K248,U10-002,0.537,29.0,54.0,0.356,16.0,45.0,3.347,4.658,0.491,Medium
O68880,021,0.63,46.0,73.0,0.489,44.0,90.0,2.718,6.741,0.493,Medium
O68880,025,0.913,84.0,92.0,0.067,6.0,90.0,0.593,2.071,0.907,High
H6SG27,012,0.0,0.0,9.0,1.0,17.0,17.0,4.779,13.249,0.127,Incorrect
G0WVH3,068,0.0,0.0,2.0,1.0,30.0,30.0,8.799,20.208,0.06,Incorrect
G0WVH3,U10-000,0.966,28.0,29.0,0.067,2.0,30.0,0.503,1.074,0.95,High
P04807,U100-006,0.738,31.0,42.0,0.031,1.0,32.0,0.969,2.962,0.778,Medium
P23687,091,0.667,134.0,201.0,0.547,162.0,296.0,3.388,3.672,0.558,Medium
G0WVH3,039,0.0,0.0,0.0,1.0,30.0,30.0,10.496,52.613,0.015,Incorrect
G0WVH3,U10-003,0.154,2.0,13.0,0.933,28.0,30.0,5.253,13.459,0.171,Incorrect
P23687,196,0.532,109.0,205.0,0.632,187.0,296.0,6.816,5.937,0.417,Acceptable
P14677,091,0.971,33.0,34.0,0.057,2.0,35.0,0.342,0.71,0.971,High
P14677,104,0.971,33.0,34.0,0.057,2.0,35.0,0.397,0.682,0.966,High
Q51504,U10-001,0.931,54.0,58.0,0.115,7.0,61.0,1.154,4.306,0.785,Medium
Q72AS4,145,0.0,0.0,31.0,1.0,43.0,43.0,15.02,20.882,0.051,Incorrect
P0AG30,092,0.4,4.0,10.0,0.889,32.0,36.0,4.214,37.609,0.187,Incorrect
Q9I5E6,063,0.223,25.0,112.0,0.699,58.0,83.0,16.162,31.617,0.1,Incorrect
F2Z6J5,008,0.196,9.0,46.0,0.82,41.0,50.0,6.972,15.353,0.158,Incorrect
A0A3B6UEQ0,007,0.0,0.0,20.0,1.0,33.0,33.0,16.627,45.038,0.014,Incorrect
P23687,U100-009,0.883,271.0,307.0,0.084,25.0,296.0,0.62,0.462,0.911,High
E1K248,078,0.133,4.0,30.0,0.911,41.0,45.0,10.428,25.488,0.085,Incorrect
H6SG27,051,0.0,0.0,1.0,1.0,17.0,17.0,3.855,10.021,0.183,Incorrect
,,,,,,,,,,,Incorrect
G0WVH3,019,0.0,0.0,1.0,1.0,30.0,30.0,13.778,29.242,0.03,Incorrect
P23687,318,0.336,50.0,149.0,0.831,246.0,296.0,12.612,16.107,0.189,Incorrect
H6SG27,127,0.0,0.0,3.0,1.0,17.0,17.0,11.868,20.309,0.055,Incorrect
A0A0F7R6G7,U100-009,0.812,26.0,32.0,0.133,4.0,30.0,0.539,0.869,0.896,High
H6SG27,231,0.0,0.0,1.0,1.0,17.0,17.0,17.782,14.742,0.086,Incorrect
P23687,U10-001,0.799,239.0,299.0,0.193,57.0,296.0,1.636,1.097,0.747,Medium
P23687,U10-003,0.785,234.0,298.0,0.209,62.0,296.0,1.526,1.006,0.754,Medium
E1K248,147,0.388,19.0,49.0,0.578,26.0,45.0,4.348,8.309,0.335,Acceptable
F2Z6J5,145,0.176,3.0,17.0,0.94,47.0,50.0,13.606,20.837,0.11,Incorrect
A0A0A0V031,U10-004,0.781,25.0,32.0,0.074,2.0,27.0,5.831,4.515,0.541,Medium
Q51504,027,0.048,1.0,21.0,0.984,60.0,61.0,23.17,36.73,0.034,Incorrect
Q9I5E6,042,0.223,27.0,121.0,0.675,56.0,83.0,17.659,27.217,0.106,Incorrect
F2Z6J5,098,0.148,4.0,27.0,0.92,46.0,50.0,13.025,24.521,0.09,Incorrect
F2Z6J5,072,0.1,1.0,10.0,0.98,49.0,50.0,9.454,19.782,0.093,Incorrect
Q72AS4,088,0.071,1.0,14.0,0.977,42.0,43.0,10.055,17.193,0.097,Incorrect
H6SG27,228,0.0,0.0,4.0,1.0,17.0,17.0,17.614,24.742,0.038,Incorrect
A0A3B6UEQ0,027,0.148,4.0,27.0,0.879,29.0,33.0,9.204,16.246,0.13,Incorrect
P23687,133,0.312,30.0,96.0,0.899,266.0,296.0,9.505,12.549,0.217,Incorrect
A0A140DJY3,U10-003,0.111,1.0,9.0,0.964,27.0,28.0,2.82,9.38,0.261,Acceptable
G0WVH3,131,0.0,0.0,0.0,1.0,30.0,30.0,11.109,42.151,0.019,Incorrect
P0AG30,151,0.778,28.0,36.0,0.222,8.0,36.0,1.352,2.374,0.752,Medium
P23687,344,0.422,78.0,185.0,0.736,218.0,296.0,6.377,15.07,0.238,Acceptable
E1K248,207,0.179,5.0,28.0,0.889,40.0,45.0,13.596,23.789,0.101,Incorrect
G0WVH3,172,0.5,2.0,4.0,0.933,28.0,30.0,6.764,14.754,0.265,Acceptable
E1K248,217,0.209,9.0,43.0,0.8,36.0,45.0,9.74,17.591,0.141,Incorrect
A0A3B6UEQ0,099,0.235,4.0,17.0,0.879,29.0,33.0,14.557,26.383,0.113,Incorrect
P04807,212,0.551,27.0,49.0,0.156,5.0,32.0,8.631,9.724,0.338,Acceptable
Q9I5E6,079,0.414,24.0,58.0,0.711,59.0,83.0,9.295,17.878,0.208,Incorrect
A0A0A0V031,018,0.0,0.0,2.0,1.0,27.0,27.0,11.639,43.675,0.018,Incorrect
D9N168,U100-000,0.667,6.0,9.0,0.25,2.0,8.0,0.461,0.833,0.857,High
F2Z6J5,124,0.143,4.0,28.0,0.92,46.0,50.0,15.541,28.881,0.077,Incorrect
P0AG30,241,0.778,21.0,27.0,0.417,15.0,36.0,1.145,3.336,0.759,Medium
A0A3B6UEQ0,004,0.039,2.0,51.0,0.939,31.0,33.0,14.641,21.135,0.063,Incorrect
P0AG30,171,0.892,33.0,37.0,0.083,3.0,36.0,0.404,0.615,0.94,High
P23687,064,0.381,37.0,97.0,0.875,259.0,296.0,12.406,18.833,0.188,Incorrect
P23687,106,0.557,68.0,122.0,0.77,228.0,296.0,7.247,11.799,0.313,Acceptable
P04807,085,0.245,12.0,49.0,0.625,20.0,32.0,12.301,21.19,0.133,Incorrect
F2Z6J5,180,0.0,0.0,38.0,1.0,50.0,50.0,10.915,21.198,0.052,Incorrect
O68880,108,0.753,67.0,89.0,0.256,23.0,90.0,2.392,4.18,0.613,Medium
P23687,052,0.169,14.0,83.0,0.953,282.0,296.0,10.901,15.536,0.139,Incorrect
E1K248,168,0.022,1.0,45.0,0.978,44.0,45.0,13.066,17.928,0.073,Incorrect
A0A140DJY3,U100-008,0.0,0.0,15.0,1.0,28.0,28.0,14.551,28.369,0.031,Incorrect
Q72AS4,032,0.0,0.0,3.0,1.0,43.0,43.0,11.398,25.786,0.038,Incorrect
P23687,230,0.432,98.0,227.0,0.669,198.0,296.0,9.716,14.673,0.235,Acceptable
A0A0A0V031,U100-007,0.857,24.0,28.0,0.111,3.0,27.0,0.972,1.956,0.837,High
O68880,001,0.92,81.0,88.0,0.1,9.0,90.0,0.588,1.448,0.92,High
Q51504,U100-007,0.964,54.0,56.0,0.115,7.0,61.0,0.847,3.983,0.848,High
P04807,135,0.22,11.0,50.0,0.656,21.0,32.0,8.662,16.072,0.156,Incorrect
P0AG30,020,0.92,23.0,25.0,0.361,13.0,36.0,1.786,3.393,0.732,Medium
P04807,089,0.48,24.0,50.0,0.25,8.0,32.0,4.9,5.489,0.424,Acceptable
H6SG27,208,0.053,1.0,19.0,0.941,16.0,17.0,6.231,15.431,0.113,Incorrect
H6SG27,125,0.0,0.0,0.0,1.0,17.0,17.0,8.574,43.748,0.022,Incorrect
A0A3B6UEQ0,041,0.208,5.0,24.0,0.848,28.0,33.0,11.517,29.408,0.101,Incorrect
P0AG30,266,0.919,34.0,37.0,0.056,2.0,36.0,0.955,0.845,0.874,High
H6SG27,042,0.0,0.0,0.0,1.0,17.0,17.0,3.211,17.727,0.122,Incorrect
H6SG27,244,0.0,0.0,5.0,1.0,17.0,17.0,4.943,13.762,0.12,Incorrect
A0A3B6UEQ0,070,0.034,1.0,29.0,0.97,32.0,33.0,15.113,27.327,0.044,Incorrect
E1K248,072,0.2,4.0,20.0,0.911,41.0,45.0,13.049,22.758,0.112,Incorrect
H6SG27,276,0.0,0.0,0.0,1.0,17.0,17.0,13.053,18.655,0.062,Incorrect
H6SG27,011,0.167,1.0,6.0,0.941,16.0,17.0,3.784,9.229,0.254,Acceptable
A0A3B6UEQ0,098,0.174,4.0,23.0,0.879,29.0,33.0,13.022,32.514,0.084,Incorrect
P23687,198,0.49,101.0,206.0,0.659,195.0,296.0,4.884,5.703,0.422,Acceptable
Q7KLV9,078,0.875,42.0,48.0,0.067,3.0,45.0,1.246,7.483,0.677,Medium
P0AG30,U10-006,0.865,32.0,37.0,0.111,4.0,36.0,0.333,0.634,0.937,High
P23687,152,0.364,59.0,162.0,0.801,237.0,296.0,9.899,8.985,0.286,Acceptable
G0WVH3,054,0.0,0.0,0.0,1.0,30.0,30.0,3.685,24.864,0.082,Incorrect
P04807,060,0.58,29.0,50.0,0.094,3.0,32.0,2.697,5.626,0.504,Medium
D9N168,U100-002,0.667,6.0,9.0,0.25,2.0,8.0,0.373,0.72,0.867,High
Q9I5E6,014,0.421,32.0,76.0,0.614,51.0,83.0,6.526,9.601,0.304,Acceptable
Q9I5E6,021,0.397,25.0,63.0,0.699,58.0,83.0,12.178,26.669,0.168,Incorrect
P23687,U100-007,0.851,280.0,329.0,0.054,16.0,296.0,0.775,0.595,0.878,High
P23687,191,0.732,169.0,231.0,0.429,127.0,296.0,3.265,3.598,0.585,Medium
P23687,279,0.539,82.0,152.0,0.723,214.0,296.0,7.341,7.152,0.388,Acceptable
H6SG27,131,0.0,0.0,13.0,1.0,17.0,17.0,11.597,23.198,0.045,Incorrect
O16025,U100-003,0.859,55.0,64.0,0.141,9.0,64.0,0.651,1.034,0.895,High
Q72AS4,013,0.143,2.0,14.0,0.953,41.0,43.0,11.074,23.744,0.091,Incorrect
Q51504,003,0.0,0.0,48.0,1.0,61.0,61.0,22.068,68.495,0.007,Incorrect
O60729,008,0.149,7.0,47.0,0.9,63.0,70.0,7.003,10.428,0.197,Incorrect
P0AG30,U10-007,0.838,31.0,37.0,0.139,5.0,36.0,0.495,0.863,0.91,High
A0A0F7R6G7,U100-008,0.818,27.0,33.0,0.1,3.0,30.0,0.506,0.904,0.902,High
H6SG27,120,0.7,14.0,20.0,0.176,3.0,17.0,1.664,4.521,0.643,Medium
P23687,071,0.441,67.0,152.0,0.774,229.0,296.0,9.452,11.09,0.278,Acceptable
Q7KLV9,064,0.25,8.0,32.0,0.822,37.0,45.0,5.614,24.902,0.14,Incorrect
P23687,375,0.465,74.0,159.0,0.75,222.0,296.0,8.874,14.334,0.251,Acceptable
F2Z6J5,080,0.211,4.0,19.0,0.92,46.0,50.0,11.525,21.122,0.122,Incorrect
E1K248,U10-009,0.257,9.0,35.0,0.8,36.0,45.0,5.479,10.677,0.238,Acceptable
A0A3B6UEQ0,097,0.0,0.0,16.0,1.0,33.0,33.0,12.508,24.122,0.042,Incorrect
Q941M3,U100-000,0.0,0.0,0.0,1.0,14.0,14.0,2.736,6.582,0.285,Acceptable
H6SG27,235,0.0,0.0,0.0,1.0,17.0,17.0,10.982,53.678,0.014,Incorrect
P0AG30,290,0.656,21.0,32.0,0.417,15.0,36.0,1.972,1.628,0.662,Medium
P23687,023,0.502,116.0,231.0,0.608,180.0,296.0,4.576,5.101,0.445,Acceptable
P04807,082,0.135,10.0,74.0,0.688,22.0,32.0,9.159,14.575,0.138,Incorrect
G0WVH3,196,0.0,0.0,1.0,1.0,30.0,30.0,11.634,27.563,0.034,Incorrect
Q72AS4,014,0.059,1.0,17.0,0.977,42.0,43.0,12.666,19.797,0.076,Incorrect
P0AG30,009,0.639,23.0,36.0,0.361,13.0,36.0,2.753,4.733,0.544,Medium
H6SG27,218,0.0,0.0,2.0,1.0,17.0,17.0,6.206,10.937,0.144,Incorrect
H6SG27,140,1.0,1.0,1.0,0.941,16.0,17.0,8.215,18.871,0.4,Acceptable
O68880,103,0.85,68.0,80.0,0.244,22.0,90.0,1.3,4.306,0.739,Medium
H6SG27,050,0.0,0.0,16.0,1.0,17.0,17.0,10.695,17.858,0.068,Incorrect
P0AG30,008,0.81,17.0,21.0,0.528,19.0,36.0,3.574,6.993,0.519,Medium
Q72AS4,091,0.471,16.0,34.0,0.628,27.0,43.0,4.593,7.724,0.372,Acceptable
G0WVH3,070,0.0,0.0,0.0,1.0,30.0,30.0,5.751,21.869,0.065,Incorrect
P14677,052,0.558,24.0,43.0,0.314,11.0,35.0,7.133,16.062,0.273,Acceptable
E1K248,202,0.143,4.0,28.0,0.911,41.0,45.0,11.027,22.887,0.094,Incorrect
A0A3B6UEQ0,117,0.174,4.0,23.0,0.879,29.0,33.0,14.862,21.675,0.106,Incorrect
Q72AS4,041,0.067,1.0,15.0,0.977,42.0,43.0,9.716,26.691,0.061,Incorrect
A0A140DJY3,005,0.0,0.0,2.0,1.0,28.0,28.0,16.25,30.613,0.027,Incorrect
H6SG27,U100-003,0.833,15.0,18.0,0.118,2.0,17.0,0.658,1.029,0.886,High
G0WVH3,076,0.0,0.0,0.0,1.0,30.0,30.0,13.21,32.239,0.026,Incorrect
P04807,202,0.595,25.0,42.0,0.219,7.0,32.0,7.866,8.378,0.379,Acceptable
H6SG27,019,0.0,0.0,12.0,1.0,17.0,17.0,12.241,23.116,0.045,Incorrect
O60729,U100-000,0.847,61.0,72.0,0.129,9.0,70.0,0.752,1.249,0.875,High
E1K248,211,0.043,1.0,23.0,0.978,44.0,45.0,8.009,17.504,0.089,Incorrect
Q51504,U10-003,0.964,54.0,56.0,0.115,7.0,61.0,1.102,4.344,0.802,High
O68880,029,0.786,55.0,70.0,0.389,35.0,90.0,1.708,3.988,0.68,Medium
P0AG30,177,0.684,26.0,38.0,0.278,10.0,36.0,1.538,2.635,0.695,Medium
O68880,009,0.944,84.0,89.0,0.067,6.0,90.0,0.401,0.935,0.955,High
H6SG27,060,0.0,0.0,0.0,1.0,17.0,17.0,14.196,30.363,0.028,Incorrect
H6SG27,237,0.0,0.0,11.0,1.0,17.0,17.0,10.412,21.129,0.053,Incorrect
P14677,096,0.943,33.0,35.0,0.057,2.0,35.0,0.388,0.791,0.957,High
,,,,,,,,,,,Incorrect
P14677,043,0.943,33.0,35.0,0.057,2.0,35.0,0.361,0.724,0.96,High
P0AG30,307,0.941,32.0,34.0,0.111,4.0,36.0,0.744,1.063,0.909,High
O60729,U100-003,0.89,65.0,73.0,0.071,5.0,70.0,0.599,1.236,0.911,High
A0A3B6UEQ0,057,0.643,27.0,42.0,0.182,6.0,33.0,1.563,2.576,0.679,Medium
F2Z6J5,215,0.095,2.0,21.0,0.96,48.0,50.0,9.523,17.127,0.106,Incorrect
E1K248,018,0.46,23.0,50.0,0.489,22.0,45.0,7.099,11.85,0.281,Acceptable
Q72AS4,159,0.125,3.0,24.0,0.93,40.0,43.0,9.554,23.141,0.089,Incorrect
A0A3B6UEQ0,U100-001,0.718,28.0,39.0,0.152,5.0,33.0,1.007,1.429,0.793,Medium
F2Z6J5,024,0.167,5.0,30.0,0.9,45.0,50.0,14.964,33.059,0.08,Incorrect
H6SG27,250,0.0,0.0,0.0,1.0,17.0,17.0,15.322,24.978,0.038,Incorrect
P14677,074,0.971,33.0,34.0,0.057,2.0,35.0,0.406,0.871,0.964,High
P0AG30,143,0.75,24.0,32.0,0.333,12.0,36.0,1.827,1.969,0.701,Medium
E1K248,243,0.067,1.0,15.0,0.978,44.0,45.0,9.851,25.134,0.064,Incorrect
Q51504,U100-006,0.966,57.0,59.0,0.066,4.0,61.0,0.676,3.124,0.893,High
P0AG30,138,0.941,32.0,34.0,0.111,4.0,36.0,0.964,0.934,0.879,High
O68880,058,0.711,54.0,76.0,0.4,36.0,90.0,2.224,5.919,0.566,Medium
P23687,264,0.284,23.0,81.0,0.922,273.0,296.0,8.501,11.322,0.225,Incorrect
P23687,273,0.629,132.0,210.0,0.554,164.0,296.0,4.469,5.072,0.489,Acceptable
E1K248,129,0.25,5.0,20.0,0.889,40.0,45.0,6.317,16.632,0.17,Incorrect
P23687,372,0.409,65.0,159.0,0.78,231.0,296.0,9.186,9.71,0.29,Acceptable
E1K248,186,0.111,4.0,36.0,0.911,41.0,45.0,11.588,19.069,0.098,Incorrect
P14677,092,0.184,7.0,38.0,0.8,28.0,35.0,8.435,21.685,0.116,Incorrect
G0WVH3,089,0.0,0.0,1.0,1.0,30.0,30.0,8.532,29.853,0.035,Incorrect
P14677,053,0.848,28.0,33.0,0.2,7.0,35.0,1.497,6.893,0.651,Medium
E1K248,U100-003,0.833,40.0,48.0,0.111,5.0,45.0,1.417,1.722,0.774,Medium
P14677,004,0.971,33.0,34.0,0.057,2.0,35.0,0.44,0.999,0.959,High
O68880,080,0.839,78.0,93.0,0.133,12.0,90.0,1.398,1.786,0.777,Medium
P04807,062,0.657,23.0,35.0,0.281,9.0,32.0,6.522,19.128,0.291,Acceptable
P23687,258,0.308,12.0,39.0,0.959,284.0,296.0,11.73,25.014,0.142,Incorrect
O60729,004,0.688,55.0,80.0,0.214,15.0,70.0,3.062,8.415,0.462,Acceptable
P0AG30,291,0.697,23.0,33.0,0.361,13.0,36.0,2.449,2.195,0.636,Medium
H6SG27,132,0.0,0.0,23.0,1.0,17.0,17.0,10.77,20.168,0.057,Incorrect
P0AG30,102,0.812,26.0,32.0,0.278,10.0,36.0,1.629,1.765,0.743,Medium
P23687,000,0.783,217.0,277.0,0.267,79.0,296.0,1.752,1.89,0.72,Medium
A0A3B6UEQ0,106,0.0,0.0,21.0,1.0,33.0,33.0,11.203,21.728,0.05,Incorrect
O69275,U10-009,0.508,33.0,65.0,0.689,73.0,106.0,3.385,13.269,0.321,Acceptable
H6SG27,090,0.0,0.0,14.0,1.0,17.0,17.0,10.01,23.047,0.047,Incorrect
Q9I5E6,029,0.333,19.0,57.0,0.771,64.0,83.0,10.482,18.979,0.173,Incorrect
P14677,029,0.892,33.0,37.0,0.057,2.0,35.0,0.679,1.327,0.899,High
E1K248,242,0.439,18.0,41.0,0.6,27.0,45.0,5.783,10.422,0.301,Acceptable
H6SG27,099,0.0,0.0,5.0,1.0,17.0,17.0,7.959,22.814,0.052,Incorrect
O68880,022,0.886,78.0,88.0,0.133,12.0,90.0,0.54,0.922,0.92,High
E1K248,164,0.032,1.0,31.0,0.978,44.0,45.0,12.08,23.556,0.054,Incorrect
P59676,U10-003,0.971,33.0,34.0,0.057,2.0,35.0,0.322,0.557,0.974,High
Q72AS4,127,0.138,4.0,29.0,0.907,39.0,43.0,12.887,20.83,0.098,Incorrect
F2Z6J5,044,0.167,3.0,18.0,0.94,47.0,50.0,12.1,22.986,0.101,Incorrect
P23687,357,0.333,49.0,147.0,0.834,247.0,296.0,6.944,11.76,0.24,Acceptable
A0A3B6UEQ0,005,0.0,0.0,43.0,1.0,33.0,33.0,12.466,24.276,0.041,Incorrect
H6SG27,109,0.167,2.0,12.0,0.882,15.0,17.0,6.562,18.39,0.131,Incorrect
F2Z6J5,021,0.028,1.0,36.0,0.98,49.0,50.0,10.159,19.58,0.069,Incorrect
P0AG30,100,0.939,31.0,33.0,0.139,5.0,36.0,0.932,1.337,0.879,High
P04807,041,0.455,25.0,55.0,0.219,7.0,32.0,5.723,8.109,0.347,Acceptable
P0AG30,130,0.812,26.0,32.0,0.278,10.0,36.0,2.693,1.457,0.674,Medium
P0AG30,101,0.222,4.0,18.0,0.889,32.0,36.0,7.214,23.578,0.126,Incorrect
Q7KLV9,004,0.412,14.0,34.0,0.689,31.0,45.0,4.822,45.17,0.178,Incorrect
H6SG27,297,0.0,0.0,1.0,1.0,17.0,17.0,9.069,7.43,0.198,Incorrect
P23687,113,0.44,66.0,150.0,0.777,230.0,296.0,6.483,9.793,0.307,Acceptable
O68880,098,0.802,69.0,86.0,0.233,21.0,90.0,1.399,3.254,0.736,Medium
Q72AS4,062,0.045,1.0,22.0,0.977,42.0,43.0,13.317,19.981,0.07,Incorrect
Q72AS4,068,0.111,2.0,18.0,0.953,41.0,43.0,11.821,18.814,0.099,Incorrect
P04807,U10-008,0.889,32.0,36.0,0.0,0.0,32.0,0.844,3.106,0.844,High
P0AG30,308,0.324,11.0,34.0,0.694,25.0,36.0,4.372,10.677,0.272,Acceptable
G0WVH3,173,0.0,0.0,1.0,1.0,30.0,30.0,9.426,22.199,0.051,Incorrect
Q7KLV9,066,0.63,17.0,27.0,0.622,28.0,45.0,11.456,59.694,0.222,Incorrect
H6SG27,005,0.0,0.0,3.0,1.0,17.0,17.0,4.621,14.887,0.114,Incorrect
P23687,018,0.339,58.0,171.0,0.804,238.0,296.0,5.695,7.744,0.317,Acceptable
E1K248,154,0.0,0.0,19.0,1.0,45.0,45.0,13.475,23.277,0.043,Incorrect
P14677,099,0.943,33.0,35.0,0.057,2.0,35.0,0.372,1.002,0.957,High
A0A3B6UEQ0,095,0.125,3.0,24.0,0.909,30.0,33.0,13.329,22.303,0.088,Incorrect
P23687,066,0.511,69.0,135.0,0.767,227.0,296.0,7.329,11.639,0.3,Acceptable
G0WVH3,115,0.0,0.0,0.0,1.0,30.0,30.0,12.04,28.173,0.033,Incorrect
P0AG30,011,0.939,31.0,33.0,0.139,5.0,36.0,0.962,1.118,0.877,High
F2Z6J5,055,0.0,0.0,20.0,1.0,50.0,50.0,9.979,17.749,0.07,Incorrect
A0A0F7R6G7,U100-001,0.871,27.0,31.0,0.1,3.0,30.0,0.498,1.3,0.916,High
P04958,U10-001,0.665,113.0,170.0,0.618,183.0,296.0,8.304,17.755,0.294,Acceptable
Q72AS4,074,0.1,5.0,50.0,0.884,38.0,43.0,7.926,13.292,0.142,Incorrect
O60729,025,0.653,47.0,72.0,0.329,23.0,70.0,7.838,13.103,0.328,Acceptable
P59676,U10-002,0.943,33.0,35.0,0.057,2.0,35.0,0.335,0.589,0.963,High
F2Z6J5,025,0.17,9.0,53.0,0.82,41.0,50.0,7.801,16.171,0.141,Incorrect
E1K248,118,0.103,3.0,29.0,0.933,42.0,45.0,13.567,23.75,0.076,Incorrect
P04807,U10-002,0.821,32.0,39.0,0.0,0.0,32.0,1.245,3.181,0.763,Medium
