uniprot,pdb,fnat,fnat_correct,fnat_total,fnonnat,fnonnat_nnative,fnonnat_model,irms,lrms,dockq,capri
Q06124,8t6d,0.895,68.0,76.0,0.068,5.0,73.0,0.431,0.591,0.938,High
Q13554,3bhh,0.941,32.0,34.0,0.03,1.0,33.0,0.24,0.708,0.97,High
P29350,3ps5,0.85,17.0,20.0,0.15,3.0,20.0,1.029,1.47,0.834,High
P11142,5aqu,0.8,32.0,40.0,0.059,2.0,34.0,0.368,0.501,0.913,High
,,,,,,,,,,,Incorrect
Q9H7B4,6p7z,0.927,51.0,55.0,0.056,3.0,54.0,0.202,0.494,0.969,High
P62826,7cnd,0.5,1.0,2.0,0.75,3.0,4.0,0.939,39.207,0.421,Acceptable
Q16644,7nrb,0.941,95.0,101.0,0.128,14.0,109.0,0.443,0.516,0.952,High
Q8RT31,1xsz,0.97,64.0,66.0,0.059,4.0,68.0,0.453,2.116,0.943,High
P28482,7auv,0.845,60.0,71.0,0.455,50.0,110.0,2.565,5.746,0.595,Medium
P28482,4n0s,0.831,59.0,71.0,0.41,41.0,100.0,2.545,5.858,0.589,Medium
Q06124,8t7q,0.921,70.0,76.0,0.091,7.0,77.0,0.462,0.921,0.941,High
P16298,4or9,0.796,39.0,49.0,0.235,12.0,51.0,0.426,7.736,0.756,Medium
P31749,3o96,0.476,10.0,21.0,0.873,69.0,79.0,5.274,19.683,0.236,Acceptable
,,,,,,,,,,,Incorrect
P62826,5uwr,0.5,1.0,2.0,0.5,1.0,2.0,1.094,40.058,0.399,Acceptable
P26358,3swr,0.379,11.0,29.0,0.851,63.0,74.0,8.183,27.97,0.165,Incorrect
,,,,,,,,,,,Incorrect
Q06124,6crg,0.857,60.0,70.0,0.062,4.0,64.0,0.503,0.755,0.916,High
P28482,6qaq,0.831,59.0,71.0,0.443,47.0,106.0,2.457,5.494,0.603,Medium
P62826,7mo2,0.0,0.0,2.0,1.0,61.0,61.0,4.158,61.248,0.045,Incorrect
P18654,4m8t,0.844,38.0,45.0,0.191,9.0,47.0,0.88,1.784,0.849,High
P62826,7mny,1.0,2.0,2.0,0.6,3.0,5.0,0.88,38.399,0.597,Medium
P54578,6iil,0.914,32.0,35.0,0.158,6.0,38.0,0.793,1.439,0.889,High
P31749,6s9x,0.455,10.0,22.0,0.896,86.0,96.0,4.611,20.988,0.23,Acceptable
P08631,5h0b,0.844,27.0,32.0,0.1,3.0,30.0,0.702,0.764,0.885,High
O08722,3g5b,0.934,142.0,152.0,0.066,10.0,152.0,0.692,0.551,0.918,High
,,,,,,,,,,,Incorrect
O00571,7liu,0.833,80.0,96.0,0.158,15.0,95.0,1.096,1.531,0.818,High
P11142,3fzk,0.975,39.0,40.0,0.071,3.0,42.0,0.392,0.572,0.969,High
Q02750,3zlw,0.987,78.0,79.0,0.093,8.0,86.0,0.929,1.125,0.898,High
P54578,6iik,1.0,28.0,28.0,0.097,3.0,31.0,0.528,0.939,0.959,High
Q14012,4fgb,1.0,43.0,43.0,0.044,2.0,45.0,0.611,1.131,0.947,High
,,,,,,,,,,,Incorrect
Q9UM73,4fny,0.881,37.0,42.0,0.051,2.0,39.0,1.849,2.798,0.727,Medium
P62826,4wvf,0.5,1.0,2.0,0.667,2.0,3.0,1.054,38.539,0.405,Acceptable
P32527,2lwx,0.909,40.0,44.0,0.167,8.0,48.0,0.822,0.984,0.888,High
Q02750,8chf,0.765,52.0,68.0,0.2,13.0,65.0,1.467,1.829,0.744,Medium
P28482,4fux,0.845,60.0,71.0,0.434,46.0,106.0,2.502,5.656,0.601,Medium
P28482,5nhv,0.831,59.0,71.0,0.478,54.0,113.0,2.495,5.525,0.6,Medium
P62826,6x2p,0.5,1.0,2.0,0.667,2.0,3.0,1.123,40.126,0.395,Acceptable
Q02750,3sls,0.922,71.0,77.0,0.09,7.0,78.0,1.636,0.842,0.79,Medium
Q86VW2,2rgn,0.939,46.0,49.0,0.098,5.0,51.0,0.561,1.02,0.934,High
P46109,2lqw,0.0,0.0,1.0,1.0,23.0,23.0,7.074,46.999,0.025,Incorrect
Q02750,9axm,0.963,78.0,81.0,0.025,2.0,80.0,1.35,0.871,0.835,High
Q9H7B4,3mek,0.941,48.0,51.0,0.077,4.0,52.0,0.211,0.355,0.973,High
P07949,7nzn,0.455,5.0,11.0,0.8,20.0,25.0,2.908,7.603,0.407,Acceptable
,,,,,,,,,,,Incorrect
Q06124,6cms,0.915,65.0,71.0,0.071,5.0,70.0,0.545,1.44,0.924,High
P28482,7e75,0.845,60.0,71.0,0.469,53.0,113.0,2.566,5.754,0.595,Medium
P11142,5aqp,0.95,38.0,40.0,0.05,2.0,40.0,0.434,0.636,0.956,High
,,,,,,,,,,,Incorrect
Q02750,4mne,0.952,80.0,84.0,0.024,2.0,82.0,1.542,1.413,0.804,High
P28482,8aoa,0.831,59.0,71.0,0.449,48.0,107.0,2.528,5.844,0.59,Medium
P28482,6rq4,0.831,59.0,71.0,0.454,49.0,108.0,2.485,5.54,0.6,Medium
P11142,6b1i,0.95,38.0,40.0,0.05,2.0,40.0,0.265,0.357,0.973,High
O08967,2r09,1.0,50.0,50.0,0.074,4.0,54.0,0.47,0.888,0.967,High
P49137,8xx1,0.856,89.0,104.0,0.239,28.0,117.0,4.105,2.197,0.637,Medium
P22681,2y1n,0.483,14.0,29.0,0.417,10.0,24.0,8.424,24.408,0.207,Incorrect
P62826,7mnp,0.0,0.0,2.0,1.0,64.0,64.0,4.219,59.944,0.044,Incorrect
Q9UM73,6e0r,0.854,35.0,41.0,0.205,9.0,44.0,1.931,1.094,0.738,Medium
Q9Y6K1,4u7t,0.877,50.0,57.0,0.123,7.0,57.0,0.474,0.848,0.926,High
Q9H7B4,3oxf,0.964,53.0,55.0,0.102,6.0,59.0,0.315,1.167,0.968,High
Q9UM73,7r7r,0.932,41.0,44.0,0.241,13.0,54.0,2.176,2.722,0.72,Medium
Q9UIK4,2a2a,0.9,27.0,30.0,0.036,1.0,28.0,0.307,0.456,0.952,High
Q02750,3v01,0.975,79.0,81.0,0.037,3.0,82.0,1.304,1.222,0.842,High
P35520,8s5j,0.633,31.0,49.0,0.061,2.0,33.0,4.696,39.676,0.256,Acceptable
P62826,5uwt,1.0,2.0,2.0,0.6,3.0,5.0,1.076,38.605,0.569,Medium
P28482,6q7t,0.845,60.0,71.0,0.464,52.0,112.0,2.508,5.7,0.599,Medium
P28482,8aoi,0.831,59.0,71.0,0.449,48.0,107.0,2.839,5.917,0.574,Medium
P28482,1pme,0.845,60.0,71.0,0.455,50.0,110.0,2.477,5.646,0.602,Medium
P28482,4qpa,0.871,61.0,70.0,0.307,27.0,88.0,2.128,3.699,0.681,Medium
Q00944,6ty4,0.0,0.0,42.0,1.0,6.0,6.0,25.665,59.936,0.008,Incorrect
P19174,4ey0,0.852,23.0,27.0,0.623,38.0,61.0,1.449,25.819,0.489,Acceptable
P49137,8xu4,0.881,59.0,67.0,0.234,18.0,77.0,2.734,5.667,0.601,Medium
Q83RJ4,3cvr,0.721,31.0,43.0,0.415,22.0,53.0,2.182,7.029,0.545,Medium
P28482,4fv1,0.845,60.0,71.0,0.45,49.0,109.0,2.53,5.661,0.599,Medium
Q16566,2w4o,0.919,57.0,62.0,0.034,2.0,59.0,0.326,0.512,0.957,High
P39687,2je1,0.879,58.0,66.0,0.065,4.0,62.0,0.462,0.71,0.928,High
P28482,4fv2,0.831,59.0,71.0,0.449,48.0,107.0,2.541,5.678,0.594,Medium
P35520,8s5h,0.653,32.0,49.0,0.059,2.0,34.0,4.654,39.563,0.264,Acceptable
Q02750,3dv3,0.925,74.0,80.0,0.075,6.0,80.0,1.354,0.861,0.822,High
P18654,5o1s,0.851,40.0,47.0,0.184,9.0,49.0,0.794,1.721,0.864,High
Q9H0M0,9eqk,0.697,53.0,76.0,0.312,24.0,77.0,1.509,5.07,0.644,Medium
Q9UM73,4cli,0.882,45.0,51.0,0.274,17.0,62.0,2.609,3.615,0.659,Medium
P11142,4h5v,0.875,35.0,40.0,0.079,3.0,38.0,0.341,0.438,0.941,High
P07949,2ivt,0.571,8.0,14.0,0.714,20.0,28.0,2.775,7.539,0.452,Acceptable
Q86WJ1,7epu,0.0,0.0,2.0,1.0,30.0,30.0,10.247,33.459,0.027,Incorrect
P28482,4fv7,0.831,59.0,71.0,0.449,48.0,107.0,2.484,5.212,0.608,Medium
Q8IXJ6,3zgo,0.987,76.0,77.0,0.073,6.0,82.0,1.644,1.509,0.804,High
P08631,5h0h,0.938,30.0,32.0,0.032,1.0,31.0,0.719,0.763,0.914,High
P35609,4d1e,0.0,0.0,0.0,0.0,0.0,0.0,107.346,222.44,0.001,Incorrect
P28482,8aoe,0.831,59.0,71.0,0.438,46.0,105.0,2.676,5.767,0.585,Medium
P07949,7run,0.625,5.0,8.0,0.444,4.0,9.0,3.222,6.949,0.468,Acceptable
P28482,8aoj,0.831,59.0,71.0,0.449,48.0,107.0,2.503,5.478,0.601,Medium
P11142,4hwi,0.975,39.0,40.0,0.071,3.0,42.0,0.348,0.391,0.974,High
P97360,2lf8,0.75,15.0,20.0,0.25,5.0,20.0,1.009,1.65,0.801,High
Q09472,5xzc,1.0,2.0,2.0,0.0,0.0,2.0,16.472,51.291,0.345,Acceptable
P00579,4lk1,0.0,0.0,0.0,0.0,0.0,0.0,15.036,46.73,0.014,Incorrect
Q06124,7r7l,0.908,69.0,76.0,0.138,11.0,80.0,0.802,1.276,0.888,High
Q3UH93,5v6t,0.872,156.0,179.0,0.077,13.0,169.0,3.168,2.611,0.656,Medium
Q02750,3eqf,0.964,81.0,84.0,0.129,12.0,93.0,1.133,1.102,0.861,High
Q58719,3av0,0.909,60.0,66.0,0.13,9.0,69.0,1.661,13.96,0.543,Medium
Q02750,9axc,0.785,51.0,65.0,0.089,5.0,56.0,1.519,2.237,0.738,Medium
Q9JK66,4k95,0.898,114.0,127.0,0.088,11.0,125.0,1.129,1.478,0.836,High
P35520,4coo,0.714,25.0,35.0,0.074,2.0,27.0,4.991,40.668,0.28,Acceptable
P11142,5aqg,0.925,37.0,40.0,0.075,3.0,40.0,0.425,0.655,0.948,High
P62826,6xjs,0.5,1.0,2.0,0.75,3.0,4.0,1.126,38.624,0.395,Acceptable
P28482,8aoc,0.831,59.0,71.0,0.454,49.0,108.0,2.532,5.842,0.59,Medium
P62826,6a38,1.0,2.0,2.0,0.667,4.0,6.0,1.045,38.716,0.573,Medium
Q9H7B4,7qnu,0.945,52.0,55.0,0.037,2.0,54.0,0.26,0.453,0.971,High
P21333,2j3s,0.467,35.0,75.0,0.478,32.0,67.0,5.996,20.237,0.225,Incorrect
P62826,7dbg,0.5,1.0,2.0,0.75,3.0,4.0,1.145,39.293,0.392,Acceptable
Q96BN8,4ksk,0.867,85.0,98.0,0.096,9.0,94.0,0.729,1.117,0.886,High
Q8NI60,5i35,0.692,9.0,13.0,0.0,0.0,9.0,1.723,1.566,0.697,Medium
P31016,1jxm,1.0,11.0,11.0,0.214,3.0,14.0,0.413,2.739,0.945,High
Q06124,4dgp,0.961,73.0,76.0,0.151,13.0,86.0,0.583,0.968,0.939,High
P28482,3tei,0.903,56.0,62.0,0.152,10.0,66.0,1.085,2.322,0.83,High
P11142,5aqs,0.95,38.0,40.0,0.026,1.0,39.0,0.43,0.63,0.956,High
P57764,6n9o,0.541,33.0,61.0,0.365,19.0,52.0,7.992,9.697,0.337,Acceptable
P28482,5lcj,0.789,56.0,71.0,0.451,46.0,102.0,2.51,5.786,0.578,Medium
P54578,2ayn,0.706,12.0,17.0,0.143,2.0,14.0,0.959,2.254,0.783,Medium
P62826,2n1b,1.0,2.0,2.0,0.969,63.0,65.0,4.073,70.479,0.378,Acceptable
P52564,3fme,0.905,76.0,84.0,0.062,5.0,81.0,0.96,1.068,0.866,High
P00523,2ptk,0.875,35.0,40.0,0.079,3.0,38.0,1.26,1.847,0.805,High
P62826,7l5e,1.0,2.0,2.0,0.5,2.0,4.0,1.072,41.1,0.568,Medium
P52564,8a8m,0.559,57.0,102.0,0.186,13.0,70.0,3.073,14.774,0.333,Acceptable
P28482,8ao5,0.831,59.0,71.0,0.443,47.0,106.0,2.495,5.58,0.598,Medium
Q02750,8dgs,0.877,71.0,81.0,0.09,7.0,78.0,1.445,1.569,0.787,Medium
Q96FI4,6lwq,0.918,112.0,122.0,0.104,13.0,125.0,1.563,2.634,0.77,Medium
P22681,5o76,0.952,40.0,42.0,0.111,5.0,45.0,0.858,2.142,0.882,High
Q02750,3zlx,0.988,80.0,81.0,0.08,7.0,87.0,0.893,1.099,0.903,High
P62826,5jlj,0.5,1.0,2.0,0.8,4.0,5.0,1.107,40.6,0.396,Acceptable
Q9H7B4,3oxl,0.909,50.0,55.0,0.107,6.0,56.0,0.498,1.38,0.928,High
P08631,3vrz,0.969,31.0,32.0,0.088,3.0,34.0,0.656,0.89,0.932,High
O08967,2r0d,0.983,59.0,60.0,0.092,6.0,65.0,0.444,0.798,0.965,High
P28482,7xc1,0.873,62.0,71.0,0.34,32.0,94.0,1.995,4.319,0.676,Medium
Q02750,3v04,0.975,79.0,81.0,0.037,3.0,82.0,1.218,0.994,0.855,High
P08631,3vs1,0.938,30.0,32.0,0.032,1.0,31.0,0.681,1.287,0.915,High
P07949,6vhg,0.636,7.0,11.0,0.562,9.0,16.0,2.987,6.849,0.481,Acceptable
Q9JK66,7us1,0.833,30.0,36.0,0.062,2.0,32.0,5.355,10.351,0.436,Acceptable
A0A0R4I961,6gu0,0.942,65.0,69.0,0.015,1.0,66.0,0.425,4.227,0.89,High
Q8IXJ6,8tgp,0.961,74.0,77.0,0.086,7.0,81.0,0.742,0.588,0.92,High
P28482,6qag,0.845,60.0,71.0,0.444,48.0,108.0,2.411,5.464,0.611,Medium
Q8IXJ6,5fyq,0.935,72.0,77.0,0.065,5.0,77.0,0.79,0.757,0.903,High
Q96FI4,6lwi,0.926,113.0,122.0,0.11,14.0,127.0,1.599,2.686,0.768,Medium
Q9UM73,4ctb,0.902,46.0,51.0,0.292,19.0,65.0,2.552,3.525,0.671,Medium
P28482,4xj0,0.845,60.0,71.0,0.355,33.0,93.0,2.026,4.068,0.671,Medium
P28482,5nhl,0.843,59.0,70.0,0.449,48.0,107.0,2.462,5.375,0.609,Medium
P28482,5ngu,0.831,59.0,71.0,0.468,52.0,111.0,2.465,5.578,0.6,Medium
Q9H7B4,7bj1,0.964,53.0,55.0,0.054,3.0,56.0,0.208,0.555,0.98,High
Q00944,6ty3,0.0,0.0,33.0,1.0,5.0,5.0,26.135,59.124,0.008,Incorrect
Q95PM0,7avm,0.66,35.0,53.0,0.167,7.0,42.0,1.271,2.994,0.711,Medium
Q06124,4ohd,0.878,65.0,74.0,0.071,5.0,70.0,1.482,2.058,0.776,Medium
Q06124,6cmr,0.868,59.0,68.0,0.017,1.0,60.0,0.538,1.064,0.913,High
Q8IXJ6,6l66,0.935,72.0,77.0,0.1,8.0,80.0,0.709,0.563,0.916,High
,,,,,,,,,,,Incorrect
Q06124,4h1o,0.821,55.0,67.0,0.141,9.0,64.0,0.825,1.171,0.857,High
Q9H7B4,3oxg,0.891,49.0,55.0,0.058,3.0,52.0,0.558,1.454,0.914,High
P49137,2jbp,0.938,61.0,65.0,0.176,13.0,74.0,0.963,1.324,0.874,High
Q02750,4an3,0.937,74.0,79.0,0.063,5.0,79.0,1.048,1.41,0.861,High
P16298,4ora,0.755,37.0,49.0,0.213,10.0,47.0,0.454,5.901,0.782,Medium
P62826,8hq6,1.0,2.0,2.0,0.5,2.0,4.0,0.775,39.17,0.611,Medium
,,,,,,,,,,,Incorrect
P07949,2x2l,0.538,7.0,13.0,0.75,21.0,28.0,2.845,7.453,0.44,Acceptable
P09769,7uy0,0.784,29.0,37.0,0.275,11.0,40.0,0.944,0.989,0.829,High
Q06124,5ehp,0.895,68.0,76.0,0.081,6.0,74.0,0.336,0.532,0.948,High
Q9UIK4,1z9x,0.9,27.0,30.0,0.0,0.0,27.0,0.289,0.424,0.954,High
Q58719,5dny,0.875,56.0,64.0,0.082,5.0,61.0,0.832,12.837,0.648,Medium
O08967,6bbp,0.117,7.0,60.0,0.533,8.0,15.0,21.63,51.774,0.049,Incorrect
O95267,4l9m,0.904,47.0,52.0,0.06,3.0,50.0,0.481,1.049,0.932,High
P28482,6qa3,0.831,59.0,71.0,0.468,52.0,111.0,2.475,5.71,0.596,Medium
P62826,4hav,1.0,2.0,2.0,0.5,2.0,4.0,1.024,43.093,0.573,Medium
Q8IXJ6,4x3o,0.961,74.0,77.0,0.098,8.0,82.0,0.656,0.549,0.932,High
Q96FI4,6lwk,0.926,113.0,122.0,0.11,14.0,127.0,1.613,2.678,0.767,Medium
Q06124,8rzw,0.895,68.0,76.0,0.117,9.0,77.0,0.663,0.989,0.906,High
P28482,5nhh,0.859,61.0,71.0,0.44,48.0,109.0,2.508,5.254,0.615,Medium
Q3KK31,3pjw,0.862,75.0,87.0,0.128,11.0,86.0,1.142,1.942,0.815,High
P07949,2x2m,0.538,7.0,13.0,0.731,19.0,26.0,2.777,7.347,0.446,Acceptable
Q06124,4ohh,0.897,61.0,68.0,0.153,11.0,72.0,0.549,0.75,0.924,High
Q07343,4wzi,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.822,0.647,Medium
Q06124,5bk8,0.877,64.0,73.0,0.147,11.0,75.0,1.171,3.043,0.795,Medium
Q14012,4fg9,0.977,42.0,43.0,0.087,4.0,46.0,0.812,1.661,0.904,High
Q8NB16,6zvo,0.789,30.0,38.0,0.189,7.0,37.0,1.235,1.415,0.786,Medium
Q16644,3she,0.889,88.0,99.0,0.083,8.0,96.0,0.451,0.508,0.934,High
P11142,5aqm,0.95,38.0,40.0,0.05,2.0,40.0,0.363,0.563,0.963,High
P62826,1k5g,1.0,2.0,2.0,0.5,2.0,4.0,1.098,34.608,0.569,Medium
Q6GQQ9,5lrv,0.641,25.0,39.0,0.265,9.0,34.0,2.294,1.512,0.637,Medium
P08631,5h0e,0.812,26.0,32.0,0.071,2.0,28.0,0.775,1.026,0.862,High
P62826,6a3b,1.0,2.0,2.0,0.5,2.0,4.0,1.053,38.835,0.572,Medium
Q6SZW1,7cm7,0.904,47.0,52.0,0.113,6.0,53.0,0.581,1.498,0.914,High
P62826,6a3a,1.0,2.0,2.0,0.5,2.0,4.0,1.015,38.781,0.577,Medium
Q06124,5ibs,0.914,64.0,70.0,0.086,6.0,70.0,0.559,0.837,0.928,High
P28482,8ao2,0.845,60.0,71.0,0.459,51.0,111.0,2.654,6.109,0.582,Medium
Q9UGN5,4pjv,0.892,83.0,93.0,0.057,5.0,88.0,0.579,0.853,0.918,High
P28482,6qa4,0.859,61.0,71.0,0.483,57.0,118.0,2.643,6.046,0.589,Medium
P18654,2qr8,0.872,41.0,47.0,0.196,10.0,51.0,0.851,1.613,0.865,High
Q02750,3os3,0.905,76.0,84.0,0.106,9.0,85.0,1.531,1.242,0.791,Medium
P08631,3vs2,0.938,30.0,32.0,0.118,4.0,34.0,0.601,1.228,0.926,High
P00519,5mo4,0.938,15.0,16.0,0.25,5.0,20.0,0.854,1.495,0.888,High
P15036,4bqa,0.727,24.0,33.0,0.0,0.0,24.0,3.525,18.542,0.351,Acceptable
P12931,1y57,0.414,24.0,58.0,0.294,10.0,34.0,24.847,37.217,0.156,Incorrect
P15498,3ky9,0.931,27.0,29.0,0.206,7.0,34.0,0.873,5.72,0.789,Medium
Q9UM73,7jys,0.955,42.0,44.0,0.3,18.0,60.0,2.256,2.878,0.719,Medium
Q8IU85,2jc6,0.91,91.0,100.0,0.173,19.0,110.0,2.835,5.555,0.61,Medium
Q06124,8s0q,0.908,69.0,76.0,0.08,6.0,75.0,0.804,1.147,0.889,High
Q8IXJ6,5d7p,0.974,75.0,77.0,0.074,6.0,81.0,0.872,2.099,0.888,High
Q02750,3eqh,0.952,80.0,84.0,0.091,8.0,88.0,1.153,0.782,0.858,High
P07949,4ckj,0.643,9.0,14.0,0.7,21.0,30.0,3.015,7.496,0.468,Acceptable
Q9UM73,4mkc,0.8,48.0,60.0,0.392,31.0,79.0,2.982,5.201,0.576,Medium
Q02750,3eqg,0.893,75.0,84.0,0.148,13.0,88.0,1.232,1.149,0.824,High
P62826,5dh9,1.0,2.0,2.0,0.5,2.0,4.0,1.11,39.951,0.563,Medium
Q06124,4ohe,0.797,59.0,74.0,0.106,7.0,66.0,1.113,2.838,0.781,Medium
Q5EGY4,3kyq,0.904,66.0,73.0,0.12,9.0,75.0,0.564,0.849,0.923,High
Q8NB16,6ux8,0.789,30.0,38.0,0.231,9.0,39.0,1.111,1.735,0.798,Medium
P00520,1opk,0.933,70.0,75.0,0.028,2.0,72.0,0.467,0.597,0.947,High
Q9UM73,4cnh,0.932,41.0,44.0,0.226,12.0,53.0,2.211,2.483,0.723,Medium
,,,,,,,,,,,Incorrect
,,,,,,,,,,,Incorrect
P11142,5aqv,0.95,38.0,40.0,0.05,2.0,40.0,0.383,0.517,0.962,High
P36507,1s9i,0.944,51.0,54.0,0.089,5.0,56.0,1.44,1.525,0.811,High
Q02750,7pqv,0.951,77.0,81.0,0.094,8.0,85.0,0.967,1.166,0.879,High
P62826,5dif,1.0,2.0,2.0,0.5,2.0,4.0,1.048,38.589,0.573,Medium
P62826,5di9,1.0,2.0,2.0,0.5,2.0,4.0,1.121,38.634,0.563,Medium
P28482,7nqw,0.845,60.0,71.0,0.459,51.0,111.0,2.532,5.641,0.6,Medium
P07949,2ivv,0.538,7.0,13.0,0.741,20.0,27.0,2.892,7.475,0.438,Acceptable
Q9H7B4,3ru0,0.891,49.0,55.0,0.058,3.0,52.0,0.245,1.152,0.949,High
P62826,5zpu,0.5,1.0,2.0,0.833,5.0,6.0,1.174,42.013,0.386,Acceptable
Q06124,8s0k,0.934,71.0,76.0,0.066,5.0,76.0,0.608,0.942,0.927,High
P27577,6da1,0.976,41.0,42.0,0.089,4.0,45.0,4.848,12.317,0.462,Acceptable
Q02750,4u81,0.975,79.0,81.0,0.037,3.0,82.0,1.219,0.913,0.855,High
Q02750,7xnc,0.962,75.0,78.0,0.062,5.0,80.0,0.95,1.148,0.886,High
Q9UGN5,8hlj,0.905,95.0,105.0,0.04,4.0,99.0,0.605,0.934,0.918,High
Q96RU8,5cem,0.818,9.0,11.0,0.4,6.0,15.0,1.99,4.541,0.653,Medium
P31749,6hhh,0.476,10.0,21.0,0.88,73.0,83.0,4.061,20.386,0.248,Acceptable
P28482,4qp7,0.769,50.0,65.0,0.194,12.0,62.0,1.239,2.233,0.766,Medium
P11142,5aql,0.9,36.0,40.0,0.053,2.0,38.0,0.384,0.569,0.945,High
Q9UM73,4foc,0.94,47.0,50.0,0.254,16.0,63.0,2.336,2.727,0.713,Medium
Q8IXJ6,5yqm,0.987,76.0,77.0,0.095,8.0,84.0,0.814,0.821,0.917,High
P08631,5h0g,0.875,28.0,32.0,0.152,5.0,33.0,0.714,0.98,0.892,High
P41212,2dao,0.778,70.0,90.0,0.157,13.0,83.0,1.984,3.247,0.671,Medium
Q06124,8b5y,0.868,66.0,76.0,0.205,17.0,83.0,0.967,2.118,0.839,High
P28482,4g6n,0.831,59.0,71.0,0.449,48.0,107.0,2.495,5.783,0.593,Medium
P53042,4ja9,0.8,36.0,45.0,0.419,26.0,62.0,0.98,1.149,0.828,High
P62826,8hug,0.5,1.0,2.0,0.75,3.0,4.0,1.143,39.24,0.392,Acceptable
Q96BN8,6sak,0.905,86.0,95.0,0.113,11.0,97.0,0.689,1.59,0.899,High
P11142,4h5r,0.95,38.0,40.0,0.05,2.0,40.0,0.356,0.519,0.964,High
P62826,5yst,1.0,2.0,2.0,0.5,2.0,4.0,1.021,38.974,0.576,Medium
Q8IXJ6,6l65,0.974,75.0,77.0,0.074,6.0,81.0,1.162,0.921,0.862,High
Q02750,3zls,0.929,78.0,84.0,0.188,18.0,96.0,1.329,1.479,0.82,High
P62826,3gj5,0.0,0.0,2.0,1.0,63.0,63.0,4.178,61.16,0.044,Incorrect
Q9UM73,5ftq,0.9,45.0,50.0,0.237,14.0,59.0,2.498,2.827,0.688,Medium
P11142,5aqn,0.95,38.0,40.0,0.073,3.0,41.0,0.386,0.536,0.961,High
Q06124,4gwf,0.946,70.0,74.0,0.079,6.0,76.0,0.655,1.138,0.923,High
Q06124,8t8q,0.895,68.0,76.0,0.068,5.0,73.0,0.465,0.655,0.934,High
Q96BN8,5oe7,0.84,84.0,100.0,0.106,10.0,94.0,1.015,3.875,0.785,Medium
Q9H7B4,6ijl,0.964,53.0,55.0,0.036,2.0,55.0,0.264,0.442,0.977,High
Q02750,3eqi,0.964,81.0,84.0,0.129,12.0,93.0,1.02,0.804,0.88,High
P11142,3m3z,0.95,38.0,40.0,0.05,2.0,40.0,0.387,0.622,0.961,High
P28482,6gjd,0.831,59.0,71.0,0.459,50.0,109.0,2.497,5.713,0.595,Medium
P07949,2x2k,0.538,7.0,13.0,0.759,22.0,29.0,2.813,7.516,0.44,Acceptable
Q13490,3t6p,0.92,23.0,25.0,0.042,1.0,24.0,0.243,0.445,0.964,High
P08631,4lue,0.875,28.0,32.0,0.125,4.0,32.0,0.69,1.4,0.891,High
O60741,5u6o,0.756,34.0,45.0,0.227,10.0,44.0,1.826,2.252,0.698,Medium
P62826,5uww,0.5,1.0,2.0,0.667,2.0,3.0,1.076,39.417,0.402,Acceptable
P62826,6x2m,1.0,2.0,2.0,0.6,3.0,5.0,0.999,38.553,0.58,Medium
Q02750,4an9,0.9,72.0,80.0,0.04,3.0,75.0,1.11,1.509,0.839,High
P62826,4gpt,0.5,1.0,2.0,0.667,2.0,3.0,1.07,38.502,0.403,Acceptable
Q8NQJ3,2kb3,0.0,0.0,0.0,1.0,38.0,38.0,4.864,28.845,0.056,Incorrect
P28482,8aog,0.831,59.0,71.0,0.454,49.0,108.0,2.57,5.829,0.588,Medium
Q8NI60,7udq,0.714,10.0,14.0,0.167,2.0,12.0,1.396,0.77,0.747,Medium
P28482,6ge0,0.845,60.0,71.0,0.45,49.0,109.0,2.534,5.687,0.598,Medium
Q6SZW1,7anw,0.83,44.0,53.0,0.102,5.0,49.0,0.725,1.452,0.871,High
D2AJU0,6lol,0.808,21.0,26.0,0.0,0.0,21.0,1.871,7.914,0.578,Medium
P28482,6g54,0.831,59.0,71.0,0.459,50.0,109.0,2.42,5.475,0.605,Medium
Q9UM73,4cmu,0.882,45.0,51.0,0.274,17.0,62.0,2.571,3.496,0.664,Medium
P12931,7yqe,1.0,1.0,1.0,0.5,1.0,2.0,1.108,3.355,0.837,High
P11142,5aqf,0.875,35.0,40.0,0.054,2.0,37.0,0.375,0.54,0.937,High
P28482,8ao6,0.831,59.0,71.0,0.464,51.0,110.0,2.516,5.741,0.593,Medium
Q02750,9axy,0.951,77.0,81.0,0.061,5.0,82.0,1.347,1.125,0.829,High
Q9UGN5,8hko,0.905,95.0,105.0,0.078,8.0,103.0,0.8,1.18,0.888,High
P08631,3vs5,0.906,29.0,32.0,0.094,3.0,32.0,0.638,1.227,0.911,High
P28482,7nr8,0.831,59.0,71.0,0.468,52.0,111.0,2.589,5.771,0.589,Medium
Q02750,6nyb,0.938,76.0,81.0,0.084,7.0,83.0,1.381,1.281,0.819,High
P62826,7mnt,0.0,0.0,2.0,1.0,64.0,64.0,4.19,60.856,0.044,Incorrect
P31749,6s9w,0.385,10.0,26.0,0.898,88.0,98.0,9.712,19.699,0.188,Incorrect
P45985,3aln,0.935,72.0,77.0,0.065,5.0,77.0,1.228,2.182,0.824,High
B5XAZ0,7bfk,0.963,26.0,27.0,0.0,0.0,26.0,0.354,0.814,0.967,High
B5XAZ0,7bfl,0.889,24.0,27.0,0.0,0.0,24.0,0.464,0.612,0.932,High
P62826,5yro,0.5,1.0,2.0,0.667,2.0,3.0,0.848,39.291,0.434,Acceptable
