uniprot	pdb	region_1	region_2	complex_rmsd	percent_region_1	percent_region_2	2_aligned	2_comp	state	conformation	organism	date	notes	chain	af_filename	nstds	non-polymers	has_partner	num_partners	has_nstds	has_nplymrs
P62826	6a3a	179-216	10-169	16.015	97.3684210526316	100.0	1.003	39.554	Active	Closed	Homo sapiens	['2018-06-15']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['1,2-ETHANEDIOL', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', 'SODIUM ION']	True	3	True	True
P62826	6a3b	179-216	10-169	16.059	97.3684210526316	100.0	1.023	39.642	Active	Closed	Homo sapiens	['2018-06-15']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['1,2-ETHANEDIOL', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', 'SODIUM ION']	True	3	True	True
P62826	6a3c	179-216	10-169	16.032	97.3684210526316	100.0	1.003	39.585	Active	Closed	Homo sapiens	['2018-06-15']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['CHLORIDE ION', '1,2-ETHANEDIOL', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', 'SODIUM ION']	True	3	True	True
P62826	6a3e	179-216	10-169	16.048	97.3684210526316	100.0	1.01	39.638	Active	Closed	Homo sapiens	['2018-06-15']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION']	True	3	True	True
P62826	6cit	179-216	10-169	16.15	94.7368421052632	100.0	0.96	39.878	Active	Closed	Homo sapiens	['2018-02-25']		A	F-P62826-F1-model_v3.cif	[]	['CHLORIDE ION', 'PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION']	True	3	False	True
P62826	6kft	179-216	10-169	16.059	97.3684210526316	100.0	1.023	39.642	Active	Closed	Homo sapiens	['2019-07-08']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['1,2-ETHANEDIOL', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', 'SODIUM ION']	True	3	True	True
P62826	6lq9	179-216	10-169	16.048	100.0	100.0	1.009	38.741	Active	Closed	Homo sapiens	['2020-01-13']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['CHLORIDE ION', '(3~{R},4~{S})-1-[[6-chloranyl-5-(trifluoromethyl)pyridin-2-yl]amino]-3,4-dimethyl-pyrrolidine-2,5-dione', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', 'NITRATE ION']	True	2	True	True
P62826	6m60	179-216	10-169	16.238	97.3684210526316	99.375	1.038	39.628	Active	Closed	Homo sapiens	['2020-03-12']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['CHLORIDE ION', 'DIMETHYL SULFOXIDE', '(2~{R})-2-methyl-5-oxidanyl-2,3-dihydronaphthalene-1,4-dione', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', 'NITRATE ION']	True	2	True	True
P62826	6m6x	179-216	10-169	16.223	97.3684210526316	99.375	1.052	39.681	Active	Closed	Homo sapiens	['2020-03-16']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['CHLORIDE ION', '1,2-ETHANEDIOL', 'WATER', 'MAGNESIUM ION', '(1beta,6beta,7beta,8alpha,9beta,10alpha,13alpha,14R,16beta)-1,6,7,14-tetrahydroxy-7,20-epoxykauran-15-one']	True	2	True	True
P62826	6x2m	179-216	10-169	16.074	100.0	100.0	1.063	38.9	Active	Closed	Homo sapiens	['2020-05-20']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION']	True	2	False	True
P62826	6x2o	179-216	10-169	16.081	100.0	100.0	1.051	38.918	Active	Closed	Homo sapiens	['2020-05-20']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'WATER', 'MAGNESIUM ION']	True	2	False	True
P62826	6x2p	179-216	10-169	16.192	92.1052631578947	100.0	1.017	40.462	Active	Closed	Homo sapiens	['2020-05-20']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION']	True	3	False	True
P62826	6x2r	179-216	10-169	16.089	92.1052631578947	100.0	1.107	40.205	Active	Closed	Homo sapiens	['2020-05-20']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION']	True	3	False	True
P62826	6x2s	179-216	10-169	16.212	92.1052631578947	100.0	1.04	40.628	Active	Closed	Homo sapiens	['2020-05-20']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION']	True	3	False	True
P62826	6x2u	179-216	10-169	16.188	92.1052631578947	100.0	1.037	40.476	Active	Closed	Homo sapiens	['2020-05-21']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION']	True	3	False	True
P62826	6x2v	179-216	10-169	15.814	84.2105263157895	100.0	1.032	41.956	Active	Closed	Homo sapiens	['2020-05-21']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'MAGNESIUM ION']	True	3	False	True
P62826	6x2w	179-216	10-169	16.202	92.1052631578947	100.0	1.028	40.484	Active	Closed	Homo sapiens	['2020-05-21']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'MAGNESIUM ION']	True	3	False	True
P62826	6x2x	179-216	10-169	16.189	92.1052631578947	100.0	1.032	40.474	Active	Closed	Homo sapiens	['2020-05-21']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION']	True	3	False	True
P62826	6x2y	179-216	10-169	16.114	92.1052631578947	100.0	0.987	40.265	Active	Closed	Homo sapiens	['2020-05-21']		A	F-P62826-F1-model_v3.cif	[]	['1,2-ETHANEDIOL', 'PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION']	True	3	False	True
P62826	6xjp	179-216	10-169	16.155	100.0	100.0	1.063	39.045	Active	Closed	Homo sapiens	['2020-06-24']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'propan-2-yl 3-{3-[3-methoxy-5-(trifluoromethyl)phenyl]-1H-1,2,4-triazol-1-yl}propanoate', 'MAGNESIUM ION']	True	2	False	True
P62826	6xjr	179-216	10-169	16.075	94.7368421052632	100.0	1.079	39.718	Active	Closed	Homo sapiens	['2020-06-24']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'WATER', 'propan-2-yl 3-{3-[3-methoxy-5-(trifluoromethyl)phenyl]-1H-1,2,4-triazol-1-yl}propanoate', 'MAGNESIUM ION']	True	2	False	True
P62826	6xjs	179-216	10-169	16.16	100.0	100.0	1.069	39.069	Active	Closed	Homo sapiens	['2020-06-24']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', 'selinexor, bound form']	True	2	False	True
P62826	6xjt	179-216	10-169	16.134	100.0	100.0	1.088	39.006	Active	Closed	Homo sapiens	['2020-06-24']		A	F-P62826-F1-model_v3.cif	[]	['(2R)-3-{3-[3,5-bis(trifluoromethyl)phenyl]-1H-1,2,4-triazol-1-yl}-2-(pyrimidin-5-yl)propanamide', 'PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'MAGNESIUM ION']	True	2	False	True
P62826	6xju	179-216	10-169	16.153	100.0	100.0	1.077	39.052	Active	Closed	Homo sapiens	['2020-06-24']		A	F-P62826-F1-model_v3.cif	[]	['(2R)-3-{3-[3,5-bis(trifluoromethyl)phenyl]-1H-1,2,4-triazol-1-yl}-2-(pyrimidin-5-yl)propanamide', 'PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'WATER', 'MAGNESIUM ION']	True	2	False	True
P62826	7cnd	179-216	10-169	16.33	97.3684210526316	99.375	1.058	39.763	Active	Closed	Homo sapiens	['2020-07-31']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['CHLORIDE ION', 'DIMETHYL SULFOXIDE', '~{N}-[(~{E})-3-[3,5-bis(trifluoromethyl)phenyl]sulfinylprop-2-enyl]-3-methyl-butan-1-amine', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', '3[N-MORPHOLINO]PROPANE SULFONIC ACID']	True	2	True	True
P62826	7dbg	179-216	10-169	16.33	97.3684210526316	99.375	1.033	39.838	Active	Closed	Homo sapiens	['2020-10-20']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['CHLORIDE ION', 'DIMETHYL SULFOXIDE', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', '3[N-MORPHOLINO]PROPANE SULFONIC ACID']	True	2	True	True
P62826	7l5e	179-216	10-169	15.772	81.5789473684211	100.0	1.018	41.726	Active	Closed	Homo sapiens	['2020-12-21']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', 'selinexor, bound form']	True	2	False	True
P62826	7mnp	179-216	10-169	22.081	76.3157894736842	99.375	4.593	58.995	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mnq	179-216	10-169	22.639	78.9473684210526	99.375	4.826	59.846	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mnr	179-216	10-169	22.55	78.9473684210526	99.375	4.838	59.762	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mns	179-216	10-169	22.613	78.9473684210526	99.375	4.961	59.743	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mnt	179-216	10-169	22.613	78.9473684210526	99.375	5.076	59.618	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mnu	179-216	10-169	21.408	73.6842105263158	99.375	4.984	57.795	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mnv	179-216	10-169	23.383	81.5789473684211	99.375	4.625	61.043	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['GLYCEROL', 'WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mnw	179-216	10-169	15.482	100.0	100.0	1.258	37.459	Active	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'WATER', 'MAGNESIUM ION']	True	1	False	True
P62826	7mnx	179-216	10-169	13.764	92.1052631578947	100.0	1.226	34.558	Active	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'WATER', 'MAGNESIUM ION']	True	1	False	True
P62826	7mny	179-216	10-169	16.192	100.0	98.75	1.805	38.984	Active	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'WATER', 'MAGNESIUM ION']	True	1	False	True
P62826	7mnz	179-216	10-169	12.568	86.8421052631579	100.0	0.919	32.533	Active	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'WATER', 'MAGNESIUM ION']	True	1	False	True
P62826	7mo0	179-216	10-169	15.747	94.7368421052632	99.375	1.885	39.011	Active	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	['SELENOMETHIONINE']	['PHOSPHOAMINOPHOSPHONIC ACID-GUANYLATE ESTER', 'WATER', 'MAGNESIUM ION', 'SULFATE ION']	True	1	True	True
P62826	7mo1	179-216	10-169	22.539	78.9473684210526	99.375	4.59	59.882	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mo2	179-216	10-169	22.707	78.9473684210526	99.375	4.759	59.961	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mo3	179-216	10-169	24.165	84.2105263157895	99.375	4.591	62.371	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mo4	179-216	10-169	24.13	84.2105263157895	99.375	4.549	62.297	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7mo5	179-216	10-169	22.563	78.9473684210526	99.375	4.58	59.773	Autoinhibited	Closed	Homo sapiens	['2021-05-01']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-DIPHOSPHATE""]"	['WATER', 'MAGNESIUM ION', 'ZINC ION']	True	1	True	True
P62826	7ypz	179-216	10-169	16.214	97.3684210526316	99.375	1.0	39.574	Autoinhibited	Closed	Homo sapiens	['2022-08-05']		A	F-P62826-F1-model_v3.cif	"[""GUANOSINE-5'-TRIPHOSPHATE""]"	['CHLORIDE ION', 'DIMETHYL SULFOXIDE', '1,2-ETHANEDIOL', 'GLYCEROL', 'WATER', 'MAGNESIUM ION', '3[N-MORPHOLINO]PROPANE SULFONIC ACID', 'SODIUM ION', 'zafirlukast']	True	2	True	True
P43405	4fl2	93-167,245-370	371-631	2.146	64.1791044776119	100.0	2.747	1.579	Autoinhibited	Closed	Homo sapiens	['2012-06-14']		A	F-P43405-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER', 'WATER', 'MAGNESIUM ION']	False	0	False	True
P43405	4fl3	93-167,245-370	371-631	1.035	61.1940298507463	95.0191570881226	0.822	1.189	Autoinhibited	Closed	Homo sapiens	['2012-06-14']		A	F-P43405-F1-model_v3.cif	[]	['PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER', 'WATER', 'MAGNESIUM ION']	False	0	False	True
Q07889	3ksy	1-198	198-565	2.442	88.8888888888889	96.195652173913	1.697	2.059	Autoinhibited	Closed	Homo sapiens	['2009-11-24']		A	F-Q07889-F1-model_v3.cif	[]	[]	False	0	False	False
Q9UM73	2xb7	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.069	61.5384615384615	95.6175298804781	1.02	1.022		Closed	HOMO SAPIENS	['2010-04-08']		A	F-Q9UM73-F1-model_v3.cif	[]	"[""5-CHLORO-N-[2-METHOXY-4-[4-(4-METHYLPIPERAZIN-1-YL)PIPERIDIN-1-YL]PHENYL]-N'-(2-PROPAN-2-YLSULFONYLPHENYL)PYRIMIDINE-2,4-DIAMINE"", 'WATER']"	False	0	False	True
Q9UM73	2xba	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.736	61.5384615384615	94.4223107569721	1.467	1.047		Closed	HOMO SAPIENS	['2010-04-08']		A	F-Q9UM73-F1-model_v3.cif	[]	['5-[(2R)-2-hydroxy-2-phenylacetyl]-3-({[4-(4-methylpiperazin-1-yl)phenyl]carbonyl}amino)-1,6-dihydropyrrolo[3,4-c]pyrazol-5-ium', 'WATER']	False	0	False	True
Q9UM73	2yhv	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.006	76.9230769230769	95.2191235059761	1.728	3.847		Closed	HOMO SAPIENS	['2011-05-06']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER']	False	0	False	True
Q9UM73	2yjr	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.525	65.3846153846154	94.8207171314741	1.19	2.838		Closed	HOMO SAPIENS	['2011-05-23']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER']	False	0	False	True
Q9UM73	2yjs	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.819	69.2307692307692	95.2191235059761	1.592	2.173		Closed	HOMO SAPIENS	['2011-05-23']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER']	False	0	False	True
Q9UM73	3aox	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.964	73.0769230769231	95.6175298804781	1.475	3.725		Closed	Homo sapiens	['2010-10-08']		A	F-Q9UM73-F1-model_v3.cif	[]	['1,2-ETHANEDIOL', '9-ethyl-6,6-dimethyl-8-[4-(morpholin-4-yl)piperidin-1-yl]-11-oxo-6,11-dihydro-5H-benzo[b]carbazole-3-carbonitrile', 'WATER']	False	0	False	True
Q9UM73	3l9p	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.581	96.1538461538462	98.00796812749	1.843	6.57	Autoinhibited	Closed	Homo sapiens	['2010-01-05']		A	F-Q9UM73-F1-model_v3.cif	[]	['GLYCEROL', 'WATER']	False	0	False	True
Q9UM73	3lcs	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	3.069	96.1538461538462	100.0	2.6	7.211	Autoinhibited	Closed	Homo sapiens	['2010-01-11']		A	F-Q9UM73-F1-model_v3.cif	[]	['GLYCEROL', 'WATER', 'STAUROSPORINE']	False	0	False	True
Q9UM73	3lct	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.813	96.1538461538462	100.0	2.403	6.526	Autoinhibited	Closed	Homo sapiens	['2010-01-11']		A	F-Q9UM73-F1-model_v3.cif	"[""ADENOSINE-5'-DIPHOSPHATE""]"	['GLYCEROL', 'WATER']	False	0	True	True
Q9UM73	4anl	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.979	76.9230769230769	95.6175298804781	1.685	3.786		Closed	HOMO SAPIENS	['2012-03-20']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER']	False	0	False	True
Q9UM73	4anq	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.983	76.9230769230769	95.6175298804781	1.719	3.812		Closed	HOMO SAPIENS	['2012-03-21']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER', '3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-yl-1H-pyrazol-4-yl)pyridin-2-amine']	False	0	False	True
Q9UM73	4ans	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.997	76.9230769230769	95.2191235059761	1.738	3.816		Closed	HOMO SAPIENS	['2012-03-22']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER', '3-[(1R)-1-(2,6-dichloro-3-fluorophenyl)ethoxy]-5-(1-piperidin-4-yl-1H-pyrazol-4-yl)pyridin-2-amine']	False	0	False	True
Q9UM73	4ccb	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.902	69.2307692307692	96.0159362549801	1.556	3.517		Closed	HOMO SAPIENS	['2013-10-21']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER', '3-[(1R)-1-[5-fluoranyl-2-(1,2,3-triazol-2-yl)phenyl]ethoxy]-5-(3-methyl-1H-pyrazol-4-yl)pyridin-2-amine']	False	0	False	True
Q9UM73	4ccu	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.989	76.9230769230769	95.6175298804781	1.548	3.887		Closed	HOMO SAPIENS	['2013-10-28']		A	F-Q9UM73-F1-model_v3.cif	[]	['2-(5-(6-amino-5-((R)-1-(5-fluoro-2-(2H-1,2,3-triazol-2-yl)phenyl)ethoxy)pyridin-3-yl)-4-methylthiazol-2-yl)propan-2-ol', 'WATER']	False	0	False	True
Q9UM73	4cd0	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.016	76.9230769230769	96.8127490039841	1.813	3.755		Closed	HOMO SAPIENS	['2013-10-29']		A	F-Q9UM73-F1-model_v3.cif	[]	['(2R)-2-[5-(6-amino-5-{(1R)-1-[2-(1,3-dihydro-2H-1,2,3-triazol-2-yl)-5-fluorophenyl]ethoxy}pyridin-3-yl)-4-methyl-1,3-thiazol-2-yl]propane-1,2-diol', 'WATER']	False	0	False	True
Q9UM73	4cli	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.02	76.9230769230769	96.8127490039841	1.763	3.953		Closed	HOMO SAPIENS	['2014-01-14']		A	F-Q9UM73-F1-model_v3.cif	[]	['(10R)-7-amino-12-fluoro-2,10,16-trimethyl-15-oxo-10,15,16,17-tetrahydro-2H-8,4-(metheno)pyrazolo[4,3-h][2,5,11]benzoxadiazacyclotetradecine-3-carbonitrile', 'WATER']	False	0	False	True
Q9UM73	4clj	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.009	76.9230769230769	96.8127490039841	1.84	3.749		Closed	HOMO SAPIENS	['2014-01-14']		A	F-Q9UM73-F1-model_v3.cif	[]	['(10R)-7-amino-12-fluoro-2,10,16-trimethyl-15-oxo-10,15,16,17-tetrahydro-2H-8,4-(metheno)pyrazolo[4,3-h][2,5,11]benzoxadiazacyclotetradecine-3-carbonitrile', 'WATER']	False	0	False	True
Q9UM73	4cmo	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.005	76.9230769230769	96.8127490039841	1.723	3.92		Closed	HOMO SAPIENS	['2014-01-16']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER', '2-[(1R)-1-{[3-amino-6-(2-methoxypyridin-3-yl)pyrazin-2-yl]oxy}ethyl]-4-fluoro-N-methylbenzamide']	False	0	False	True
Q9UM73	4cmt	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.876	69.2307692307692	94.8207171314741	1.492	3.491		Closed	HOMO SAPIENS	['2014-01-17']		A	F-Q9UM73-F1-model_v3.cif	[]	['3-{(1R)-1-[2-(1,3-dihydro-2H-1,2,3-triazol-2-yl)-5-fluorophenyl]ethoxy}-5-[3-(methylsulfonyl)phenyl]pyridin-2-amine', 'WATER']	False	0	False	True
Q9UM73	4cmu	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.0	76.9230769230769	96.8127490039841	1.739	3.879		Closed	HOMO SAPIENS	['2014-01-17']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER', '(10R)-7-amino-12-fluoro-1,3,10,16-tetramethyl-16,17-dihydro-1H-8,4-(metheno)pyrazolo[4,3-h][2,5,11]benzoxadiazacyclotetradecin-15(10H)-one']	False	0	False	True
Q9UM73	4cnh	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.88	65.3846153846154	94.4223107569721	1.554	3.299		Closed	HOMO SAPIENS	['2014-01-22']		A	F-Q9UM73-F1-model_v3.cif	[]	['3-[(1R)-1-(5-fluoro-2-methoxyphenyl)ethoxy]-5-(1-methyl-1H-1,2,3-triazol-5-yl)pyridin-2-amine', 'WATER']	False	0	False	True
Q9UM73	4ctb	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.998	76.9230769230769	95.6175298804781	1.665	3.911		Closed	HOMO SAPIENS	['2014-03-12']		A	F-Q9UM73-F1-model_v3.cif	[]	"['WATER', ""(5R)-8-amino-3-fluoro-5,19-dimethyl-20-oxo-5,18,19,20-tetrahydro-11,7-(azeno)pyrido[2',1':2,3]imidazo[4,5-h][2,5,11]benzoxadiazacyclotetradecine-14-carbonitrile""]"	False	0	False	True
Q9UM73	4ctc	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.709	73.0769230769231	94.8207171314741	1.426	2.575		Closed	HOMO SAPIENS	['2014-03-12']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER', '(10R)-7-amino-3-cyclopropyl-12-fluoro-1,10,16-trimethyl-16,17-dihydro-1H-8,4-(metheno)pyrazolo[4,3-h][2,5,11]benzoxadiazacyclotetradecin-15(10H)-one']	False	0	False	True
Q9UM73	4dce	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.176	69.2307692307692	94.4223107569721	1.052	2.073		Closed	Homo sapiens	['2012-01-17']		A	F-Q9UM73-F1-model_v3.cif	[]	['(3S)-N-(4-methylbenzyl)-1-{2-[(3,4,5-trimethoxyphenyl)amino]pyrimidin-4-yl}piperidine-3-carboxamide', 'WATER']	False	0	False	True
Q9UM73	4fnw	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.212	69.2307692307692	95.6175298804781	1.453	3.381		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif	[]	['GLYCEROL', 'WATER']	False	0	False	True
Q9UM73	4fnx	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	2.069	65.3846153846154	95.2191235059761	1.75	1.688		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif	[]	['GLYCEROL', 'WATER']	False	0	False	True
Q9UM73	4fny	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.935	65.3846153846154	92.0318725099602	1.329	2.96		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER', 'N-(4-chlorophenyl)-5-[(6,7-dimethoxyquinolin-4-yl)oxy]-1,3-benzoxazol-2-amine']	False	0	False	True
Q9UM73	4fnz	1279-1288,1158-1173	1116-1157,1174-1278,1289-1392	1.138	65.3846153846154	94.4223107569721	0.996	2.004		Closed	Homo sapiens	['2012-06-20']		A	F-Q9UM73-F1-model_v3.cif	[]	['WATER', '(3S)-N-[3-(trifluoromethoxy)benzyl]-1-{2-[(3,4,5-trimethoxyphenyl)amino]pyrimidin-4-yl}piperidine-3-carboxamide']	False	0	False	True
